path,id,model1_infected,model1_class,model1_probs,model2_infected,model2_class,model2_probs,model3_infected,model3_class,model3_probs
1,305,1.0,1,"[9.101836617730896e-09, 1.0]",0.9993066787719727,1,"[0.0006933579570613801, 0.9993066787719727]",1.0,1,"[3.815735727386027e-09, 1.0]"
1,306,0.9998571872711182,1,"[0.00014284614007920027, 0.9998571872711182]",1.0,1,"[1.0623386718922045e-11, 1.0]",0.9999459981918335,1,"[5.405581396189518e-05, 0.9999459981918335]"
1,307,1.0,1,"[1.3990292258014847e-09, 1.0]",0.9999998807907104,1,"[6.828024368132901e-08, 0.9999998807907104]",1.0,1,"[3.5744303350515594e-11, 1.0]"
1,308,0.9997667670249939,1,"[0.00023322745983023196, 0.9997667670249939]",1.0,1,"[1.4802008577174952e-11, 1.0]",0.999862551689148,1,"[0.00013742485316470265, 0.999862551689148]"
1,309,0.9999984502792358,1,"[1.5497598724323325e-06, 0.9999984502792358]",0.9999998807907104,1,"[1.0476433232042837e-07, 0.9999998807907104]",1.0,1,"[6.575417987875198e-09, 1.0]"
1,310,0.9999557733535767,1,"[4.4280695874476805e-05, 0.9999557733535767]",0.9999994039535522,1,"[5.806984972878126e-07, 0.9999994039535522]",0.9950157999992371,1,"[0.004984152037650347, 0.9950157999992371]"
1,401,1.0,1,"[2.911234960240906e-14, 1.0]",0.9999988079071045,1,"[1.1754434581234818e-06, 0.9999988079071045]",1.0,1,"[2.1721394214552214e-12, 1.0]"
1,402,0.9999905824661255,1,"[9.445204341318458e-06, 0.9999905824661255]",1.0,1,"[2.7693472515188944e-12, 1.0]",0.9999727010726929,1,"[2.732375833147671e-05, 0.9999727010726929]"
1,403,1.0,1,"[1.1133871602453382e-11, 1.0]",1.0,1,"[1.2163000606690844e-09, 1.0]",1.0,1,"[2.2601363003360575e-09, 1.0]"
1,404,0.9999271631240845,1,"[7.285531319212168e-05, 0.9999271631240845]",1.0,1,"[2.9399715301137164e-11, 1.0]",0.9999673366546631,1,"[3.2673713576514274e-05, 0.9999673366546631]"
1,405,1.0,1,"[3.60683379864446e-13, 1.0]",0.9999998807907104,1,"[1.354222547433892e-07, 0.9999998807907104]",1.0,1,"[1.523817516613235e-08, 1.0]"
1,406,0.9999966621398926,1,"[3.3644123504927848e-06, 0.9999966621398926]",1.0,1,"[6.996572917382371e-13, 1.0]",1.0,1,"[6.339168301394693e-09, 1.0]"
